state_name,district_name,year_month,gw_level_m_bgl
andhra pradesh,guntur,2017-12,3.609565217391304
andhra pradesh,guntur,2018-05,5.18741935483871
andhra pradesh,guntur,2018-08,3.7353409090909087
andhra pradesh,guntur,2018-11,3.90520325203252
andhra pradesh,guntur,2018-12,3.665471698113208
andhra pradesh,guntur,2019-01,4.527954545454545
andhra pradesh,guntur,2019-03,2.08
andhra pradesh,guntur,2019-05,5.688735632183908
andhra pradesh,guntur,2019-08,4.428117647058824
andhra pradesh,guntur,2019-09,13.05
andhra pradesh,guntur,2019-10,2.8252272727272727
andhra pradesh,guntur,2020-01,3.241058823529412
andhra pradesh,guntur,2020-11,2.3526136363636363
andhra pradesh,guntur,2021-01,2.7188505747126435
andhra pradesh,krishna,2013-01,2.842777777777778
andhra pradesh,krishna,2013-05,5.3432258064516125
andhra pradesh,krishna,2013-11,1.9202083333333333
andhra pradesh,krishna,2014-01,2.253953488372093
andhra pradesh,krishna,2014-05,4.419538461538461
andhra pradesh,krishna,2014-08,3.3069696969696967
andhra pradesh,krishna,2014-11,2.5425
andhra pradesh,krishna,2015-01,3.451780821917808
andhra pradesh,krishna,2015-05,4.8526388888888885
andhra pradesh,krishna,2015-08,3.2920289855072467
andhra pradesh,krishna,2015-11,4.494166666666667
andhra pradesh,krishna,2016-01,4.7244
andhra pradesh,krishna,2016-05,7.0811111111111105
andhra pradesh,krishna,2016-08,4.297272727272727
andhra pradesh,krishna,2016-11,2.9595588235294117
andhra pradesh,krishna,2017-01,4.583661971830986
andhra pradesh,krishna,2017-05,5.771212121212121
andhra pradesh,krishna,2017-08,3.652
andhra pradesh,krishna,2017-11,4.238030303030302
andhra pradesh,krishna,2017-12,4.9107692307692306
andhra pradesh,krishna,2018-05,6.539545454545455
andhra pradesh,krishna,2018-08,2.6569230769230767
andhra pradesh,krishna,2018-11,3.831666666666667
andhra pradesh,krishna,2018-12,3.319
andhra pradesh,krishna,2019-01,5.168615384615384
andhra pradesh,krishna,2019-05,6.12546875
andhra pradesh,krishna,2019-08,4.639692307692307
andhra pradesh,krishna,2019-10,3.4923076923076923
andhra pradesh,krishna,2019-11,0.52
andhra pradesh,krishna,2020-01,4.308333333333334
andhra pradesh,krishna,2020-11,2.68203125
andhra pradesh,krishna,2021-01,3.35
andhra pradesh,kurnool,2013-01,5.152682926829268
andhra pradesh,kurnool,2013-05,7.129310344827586
andhra pradesh,kurnool,2013-11,3.617714285714286
andhra pradesh,kurnool,2014-01,5.103720930232559
andhra pradesh,kurnool,2014-05,6.1128846153846155
andhra pradesh,kurnool,2014-08,5.236862745098039
andhra pradesh,kurnool,2014-11,4.35
andhra pradesh,kurnool,2015-01,5.237446808510638
andhra pradesh,kurnool,2015-05,7.0975
andhra pradesh,kurnool,2015-08,7.857083333333333
andhra pradesh,kurnool,2015-11,5.827142857142857
andhra pradesh,kurnool,2016-01,7.3984000000000005
andhra pradesh,kurnool,2016-05,8.787878787878787
andhra pradesh,kurnool,2016-08,6.7287234042553195
andhra pradesh,kurnool,2016-11,6.1123076923076916
andhra pradesh,kurnool,2017-01,6.834444444444444
andhra pradesh,kurnool,2017-05,8.79921568627451
andhra pradesh,kurnool,2017-08,6.892244897959184
andhra pradesh,kurnool,2017-11,4.4525
andhra pradesh,kurnool,2017-12,5.066851851851852
andhra pradesh,kurnool,2018-05,6.812391304347826
andhra pradesh,kurnool,2018-08,7.401489361702128
andhra pradesh,kurnool,2018-11,6.418045977011494
andhra pradesh,kurnool,2018-12,5.139047619047619
andhra pradesh,kurnool,2019-01,8.2318
andhra pradesh,kurnool,2019-05,9.29906976744186
andhra pradesh,kurnool,2019-08,8.571162790697674
andhra pradesh,kurnool,2019-10,4.400408163265306
andhra pradesh,kurnool,2020-01,5.3318867924528295
andhra pradesh,kurnool,2020-11,2.8895918367346938
andhra pradesh,kurnool,2021-01,3.1836538461538457
andhra pradesh,prakasam,2013-01,4.223333333333334
andhra pradesh,prakasam,2013-05,6.326363636363637
andhra pradesh,prakasam,2013-11,3.1423913043478264
andhra pradesh,prakasam,2014-01,3.6756363636363636
andhra pradesh,prakasam,2014-05,5.085573770491804
andhra pradesh,prakasam,2014-08,5.58984375
andhra pradesh,prakasam,2014-11,4.670740740740741
andhra pradesh,prakasam,2015-01,4.30421875
andhra pradesh,prakasam,2015-05,6.517538461538462
andhra pradesh,prakasam,2015-08,6.045686274509803
andhra pradesh,prakasam,2015-11,5.976909090909091
andhra pradesh,prakasam,2016-01,5.6903125
andhra pradesh,prakasam,2016-05,6.981944444444444
andhra pradesh,prakasam,2016-08,6.416607142857143
andhra pradesh,prakasam,2016-11,5.910612244897959
andhra pradesh,prakasam,2017-01,7.004727272727273
andhra pradesh,prakasam,2017-05,6.553877551020408
andhra pradesh,prakasam,2017-08,7.531777777777778
andhra pradesh,prakasam,2017-11,5.6866071428571425
andhra pradesh,prakasam,2017-12,8.064
andhra pradesh,prakasam,2018-05,7.6646511627906975
andhra pradesh,prakasam,2018-08,7.807073170731707
andhra pradesh,prakasam,2018-11,5.981379310344828
andhra pradesh,prakasam,2018-12,4.0844
andhra pradesh,prakasam,2019-01,7.2532499999999995
andhra pradesh,prakasam,2019-03,1.79
andhra pradesh,prakasam,2019-05,8.391142857142857
andhra pradesh,prakasam,2019-08,7.615666666666667
andhra pradesh,prakasam,2019-10,5.548636363636364
andhra pradesh,prakasam,2020-01,5.776595744680851
andhra pradesh,prakasam,2020-11,4.999814814814815
andhra pradesh,prakasam,2021-01,3.8926785714285717
andhra pradesh,sri potti sriramulu nellore,2013-01,3.106190476190476
andhra pradesh,sri potti sriramulu nellore,2013-05,5.3485
andhra pradesh,sri potti sriramulu nellore,2013-11,3.711190476190476
andhra pradesh,sri potti sriramulu nellore,2014-01,3.76
andhra pradesh,sri potti sriramulu nellore,2014-05,5.391166666666667
andhra pradesh,sri potti sriramulu nellore,2014-08,5.193272727272727
andhra pradesh,sri potti sriramulu nellore,2014-11,4.4677999999999995
andhra pradesh,sri potti sriramulu nellore,2015-01,4.517878787878788
andhra pradesh,sri potti sriramulu nellore,2015-05,6.109
andhra pradesh,sri potti sriramulu nellore,2015-08,4.843255813953488
andhra pradesh,sri potti sriramulu nellore,2015-11,1.9458536585365853
andhra pradesh,sri potti sriramulu nellore,2016-01,2.2600000000000002
andhra pradesh,sri potti sriramulu nellore,2016-05,4.202058823529412
andhra pradesh,sri potti sriramulu nellore,2016-08,5.055
andhra pradesh,sri potti sriramulu nellore,2016-11,4.524081632653061
andhra pradesh,sri potti sriramulu nellore,2017-01,4.94271186440678
andhra pradesh,sri potti sriramulu nellore,2017-05,7.349615384615385
andhra pradesh,sri potti sriramulu nellore,2017-08,5.379
andhra pradesh,sri potti sriramulu nellore,2017-11,3.3391304347826085
andhra pradesh,sri potti sriramulu nellore,2017-12,3.6765454545454546
andhra pradesh,sri potti sriramulu nellore,2018-05,6.684166666666666
andhra pradesh,sri potti sriramulu nellore,2018-08,5.4347619047619045
andhra pradesh,sri potti sriramulu nellore,2018-11,5.062166666666667
andhra pradesh,sri potti sriramulu nellore,2018-12,3.328148148148148
andhra pradesh,sri potti sriramulu nellore,2019-01,4.115681818181819
andhra pradesh,sri potti sriramulu nellore,2019-02,1.58
andhra pradesh,sri potti sriramulu nellore,2019-05,6.043023255813954
andhra pradesh,sri potti sriramulu nellore,2019-08,4.952258064516129
andhra pradesh,sri potti sriramulu nellore,2019-10,3.132608695652174
andhra pradesh,sri potti sriramulu nellore,2020-01,2.8765384615384617
andhra pradesh,sri potti sriramulu nellore,2020-11,3.482727272727273
andhra pradesh,sri potti sriramulu nellore,2021-01,1.7844444444444445
andhra pradesh,srikakulam,2013-01,2.3046511627906976
andhra pradesh,srikakulam,2013-05,5.945862068965518
andhra pradesh,srikakulam,2013-11,1.4480555555555557
andhra pradesh,srikakulam,2014-01,3.3693023255813954
andhra pradesh,srikakulam,2014-05,4.2382608695652175
andhra pradesh,srikakulam,2014-08,2.2728260869565218
andhra pradesh,srikakulam,2014-11,2.2884444444444445
andhra pradesh,srikakulam,2015-01,3.322765957446808
andhra pradesh,srikakulam,2015-05,5.9041304347826085
andhra pradesh,srikakulam,2015-08,2.845686274509804
andhra pradesh,srikakulam,2015-11,2.9202
andhra pradesh,srikakulam,2016-01,4.810714285714285
andhra pradesh,srikakulam,2016-05,5.349347826086956
andhra pradesh,srikakulam,2016-08,3.4233333333333333
andhra pradesh,srikakulam,2016-11,2.8608
andhra pradesh,srikakulam,2017-01,3.9533928571428567
andhra pradesh,srikakulam,2017-05,5.947719298245613
andhra pradesh,srikakulam,2017-08,2.145
andhra pradesh,srikakulam,2017-11,2.3775925925925927
andhra pradesh,srikakulam,2017-12,3.2446153846153845
andhra pradesh,srikakulam,2018-05,5.0460377358490565
andhra pradesh,srikakulam,2018-08,1.6409803921568626
andhra pradesh,srikakulam,2018-11,2.1357692307692306
andhra pradesh,srikakulam,2018-12,2.13
andhra pradesh,srikakulam,2019-01,3.343061224489796
andhra pradesh,srikakulam,2019-05,4.527142857142858
andhra pradesh,srikakulam,2019-08,3.243888888888889
andhra pradesh,srikakulam,2019-10,1.3075999999999999
andhra pradesh,srikakulam,2020-01,3.174615384615385
andhra pradesh,srikakulam,2020-11,2.243191489361702
andhra pradesh,srikakulam,2021-01,3.7775000000000003
